Title,Year,Release Date,Imbibed,Completed,Favorite
The Great Escape,1963,07/03/1963 00:00,TRUE,,
The Great Gatsby,1974,03/27/1974 00:00,,,
The Great Gatsby,2013,05/10/2013 00:00,,,
The Great Happiness Space - Tale of an Osaka Love Thief.avi,2006,01/22/2006 00:00,TRUE,,
The Great Mouse Detective,1986,07/02/1986 00:00,,,
The Great Outdoors,1988,06/17/1988 00:00,,,
The Great Silence,1968,11/22/1968 00:00,,,
The Great War of Archimedes,2019,07/26/2019 00:00,,,
The Green Berets,1968,07/04/1968 00:00,,,
The Green Hornet,2011,01/12/2011 00:00,,,
The Green Inferno,1988,05/01/1988 00:00,,,
The Green Mile,1999,12/10/1999 00:00,TRUE,,
The Grey,2012,01/26/2012 00:00,,,
The Grudge,2004,10/22/2004 00:00,,,
The Guardians of the Galaxy Holiday Special,2022,11/24/2022 00:00,,,
The Guns of Navarone,1961,04/27/1961 00:00,,,
The Hangover,2009,06/02/2009 00:00,TRUE,,
The Hangover Part II,2011,05/25/2011 00:00,,,
The Hangover Part III,2013,05/23/2013 00:00,,,
The Hateful Eight,2015,12/25/2015 00:00,TRUE,,
The Haunting,1999,07/23/1999 00:00,,,
The Heiress,1949,10/06/1949 00:00,,,
The Hero's Journey: The World of Joseph Campbell,1987,03/22/1987 00:00,,,
The Hidden Fortress,1958,12/28/1958 00:00,,,
The Highwaymen,2019,03/15/2019 00:00,TRUE,,
The Hitcher,1986,01/17/1986 00:00,,,
The Hitchhiker's Guide to the Galaxy,2005,04/28/2005 00:00,TRUE,,
The Hitman's Bodyguard,2017,08/16/2017 00:00,TRUE,,
The Hobbit,1977,11/27/1977 00:00,TRUE,,
The Hobbit: An Unexpected Journey,2012,12/12/2012 00:00,TRUE,,
The Hobbit: The Battle of the Five Armies,2014,12/10/2014 00:00,TRUE,,
The Hobbit: The Desolation of Smaug,2013,12/11/2013 00:00,TRUE,,
The Holdovers,2023,10/27/2023 00:00,,,
The Holiday,2006,12/05/2006 00:00,,,
The Homestay,2018,05/13/2018 00:00,,,
The Horror of Dracula,1958,05/08/1958 00:00,,,
The Horror of Frankenstein,1970,11/08/1970 00:00,,,
The Host,2013,03/22/2013 00:00,TRUE,,
The Hot Chick,2002,12/13/2002 00:00,TRUE,,
The House on 92nd Street,1945,09/10/1945 00:00,,,
The Howling,1981,01/21/1981 00:00,,,
The Hudsucker Proxy,1994,03/11/1994 00:00,,,
The Human Condition I: No Greater Love,1959,01/15/1959 00:00,,,
The Human Condition II: Road to Eternity,1959,11/20/1959 00:00,,,
The Human Condition III: A Soldier's Prayer,1961,01/28/1961 00:00,,,
The Hummingbird Project,2019,03/15/2019 00:00,,,
The Hunchback of Notre Dame,1996,06/21/1996 00:00,TRUE,,
The Hunchback of Notre Dame II,2002,02/06/2002 00:00,,,
The Hunger Games,2012,03/12/2012 00:00,TRUE,,
The Hunger Games: Catching Fire,2013,11/15/2013 00:00,TRUE,,
The Hunger Games: Mockingjay - Part 1,2014,11/19/2014 00:00,TRUE,,
The Hunger Games: Mockingjay - Part 2,2015,11/18/2015 00:00,TRUE,,
The Hunger Games: The Ballad of Songbirds & Snakes,2023,11/15/2023 00:00,TRUE,,
The Hunt for Red October,1990,03/02/1990 00:00,TRUE,,
The Hunted,2003,03/11/2003 00:00,,,
The Hunters,1958,09/01/1958 00:00,,,
The Huntsman: Winter's War,2016,04/06/2016 00:00,,,
The Hurricane Express,1932,08/01/1932 00:00,,,
The Hurt Locker,2008,10/10/2008 00:00,,,
The Hustler,1961,09/25/1961 00:00,,,
The Ice Age Adventures of Buck Wild,2022,01/28/2022 00:00,TRUE,,
The Iceman,2012,08/30/2012 00:00,TRUE,,
The Illusionist,2006,08/18/2006 00:00,TRUE,,
The Illusionist,2010,06/16/2010 00:00,,,
The Imaginarium of Doctor Parnassus,2009,10/01/2009 00:00,TRUE,,
The Importance of Being Earnest,2002,05/17/2002 00:00,TRUE,,
The Importance of Being Earnest,1952,06/02/1952 00:00,,,
The Incredible Hulk,2008,06/12/2008 00:00,TRUE,,
The Incredibles,2004,10/27/2004 00:00,TRUE,,
The Indian in the Cupboard,1995,07/14/1995 00:00,TRUE,,
The Insider,1999,10/28/1999 00:00,TRUE,,
The International,2009,02/03/2009 00:00,TRUE,,
The Internship,2013,06/07/2013 00:00,TRUE,,
The Interview,2014,12/25/2014 00:00,TRUE,,
The Invasion,2007,08/17/2007 00:00,,,
The Invention of Lying,2009,09/13/2009 00:00,,,
The Inventor: Out for Blood in Silicon Valley,2019,01/24/2019 00:00,,,
The Invisible Man,1933,11/03/1933 00:00,,,
The Invisible Man Returns,1940,01/12/1940 00:00,,,
The Invitation,2022,08/24/2022 00:00,,,
The Irishman,2019,11/01/2019 00:00,,,
The Iron Giant,1999,08/06/1999 00:00,TRUE,,
The Iron Lady,2011,12/26/2011 00:00,TRUE,,
The Island,2005,07/21/2005 00:00,,,
The Island of Dr. Moreau,1996,08/23/1996 00:00,,,
The Island of Dr. Moreau,1977,07/13/1977 00:00,,,
The Italian Job,2003,05/30/2003 00:00,TRUE,,
The Italian Job,1969,06/02/1969 00:00,,,
The Jackal,1997,11/14/1997 00:00,TRUE,,
The Jerk,1979,12/14/1979 00:00,TRUE,,
The Jesus Rolls,2019,10/17/2019 00:00,,,
The Jewel of the Nile,1985,08/01/1985 00:00,,,
The Joy Luck Club,1993,09/08/1993 00:00,,,
The Jungle Book,1967,10/18/1967 00:00,,,
The Jungle Book 2,2003,02/07/2003 00:00,,,
The Karate Kid,1984,06/22/1984 00:00,TRUE,,
The Karate Kid,2010,06/11/2010 00:00,,,
The Karate Kid Part II,1986,06/18/1986 00:00,TRUE,,
The Karate Kid Part III,1989,06/16/1989 00:00,TRUE,,
The Killer,1989,03/24/1989 00:00,,,
The Killing,1956,06/06/1956 00:00,,,
The Killing Fields,1984,11/23/1984 00:00,,,
The King,2019,10/11/2019 00:00,TRUE,,
The King and I,1956,06/29/1956 00:00,,,
The King of Comedy,1982,12/18/1982 00:00,,,
The King of Fighters,2009,11/05/2009 00:00,,,
The King of Kings,2025,04/11/2025 00:00,,,
The King of Kong: A Fistful of Quarters,2007,03/25/2007 00:00,,,
The King's Speech,2010,11/26/2010 00:00,,,
The Kingdom of Dreams and Madness,2013,11/16/2013 00:00,,,
The Kiss of the Vampire,1963,09/11/1963 00:00,,,
The Kite Runner,2007,12/14/2007 00:00,,,
The Ladies Man,2000,10/13/2000 00:00,,,
The Lady Eve,1941,02/25/1941 00:00,,,
The Ladykillers,2004,03/25/2004 00:00,,,
The Land Before Time,1988,11/18/1988 00:00,TRUE,,
The Last Airbender,2010,06/30/2010 00:00,TRUE,,
The Last Boy Scout,1991,12/13/1991 00:00,,,
The Last Dragon,1985,03/22/1985 00:00,,,
The Last Duel,2021,10/13/2021 00:00,,,
The Last Emperor,1987,10/04/1987 00:00,,,
The Last Fiction,2019,11/27/2019 00:00,,,
The Last House on the Left,1972,08/30/1972 00:00,,,
The Last King of Scotland,2006,01/12/2006 00:00,,,
The Last Man on Earth,1964,05/06/1964 00:00,,,
The Last Movie Star,2018,03/30/2018 00:00,,,
The Last of the Mohicans,1992,08/26/1992 00:00,,,
The Last Picture Show,1971,10/03/1971 00:00,,,
The Last Samurai,1974,09/20/1974 00:00,,,
The Last Samurai,2003,12/05/2003 00:00,TRUE,,
The Last Starfighter,1984,07/13/1984 00:00,TRUE,,
The Last Temptation of Christ,1988,05/28/1988 00:00,,,
The Last Truck: Closing of a GM Plant,2009,09/07/2009 00:00,,,
The Last Tycoon,1976,11/18/1976 00:00,,,
The Last Unicorn,1982,11/19/1982 00:00,,,
The Last Voyage of the Demeter,2023,08/09/2023 00:00,TRUE,,
The Last Wave,1977,12/15/1977 00:00,,,
The Last Witch Hunter,2015,10/21/2015 00:00,TRUE,,
The Lathe of Heaven,1980,01/09/1980 00:00,,,
The Laughing Policeman,1973,12/20/1973 00:00,,,
The Lawnmower Man,1992,03/05/1992 00:00,,,
The Layover,2017,09/01/2017 00:00,,,
The League of Extraordinary Gentlemen,2003,07/11/2003 00:00,TRUE,,
The Legend,1993,03/04/1993 00:00,,,
The Legend Is Born: Ip Man,2010,06/24/2010 00:00,,,
The Legend of Bagger Vance,2000,11/02/2000 00:00,TRUE,,
The Legend of Drunken Master,1994,02/03/1994 00:00,TRUE,,
The Legend of Hei,2019,08/27/2019 00:00,,,
The Legend of Zorro,2005,10/24/2005 00:00,TRUE,,
The Lego Batman Movie,2017,02/08/2017 00:00,TRUE,,
The Lego Movie,2014,02/06/2014 00:00,TRUE,,
The Lego Movie 2: The Second Part,2019,02/06/2019 00:00,,,
The Lego Ninjago Movie,2017,09/21/2017 00:00,,,
The Leopard,1963,03/27/1963 00:00,,,
The Life and Adventures of Santa Claus,1985,12/17/1985 00:00,,,
The Life and Times of Judge Roy Bean,1972,12/18/1972 00:00,,,
The Life Aquatic with Steve Zissou,2004,12/10/2004 00:00,,,
The Life of David Gale,2003,02/21/2003 00:00,,,
The Lighthouse,2019,10/18/2019 00:00,,,
The Lincoln Lawyer,2011,03/17/2011 00:00,,,
The Lion King,1994,06/15/1994 00:00,TRUE,,
The Lion King 1½,2004,10/28/2004 00:00,,,
The Lion King II: Simba's Pride,1998,10/24/1998 00:00,,,
The Little Drummer Boy,1968,12/19/1968 00:00,TRUE,,
The Little Mermaid,1989,11/17/1989 00:00,TRUE,,
The Little Mermaid II: Return to the Sea,2000,01/23/2000 00:00,,,
The Little Mermaid: Ariel's Beginning,2008,08/25/2008 00:00,,,
The Little Rascals,1994,08/05/1994 00:00,,,
The Lives of Others,2006,03/23/2006 00:00,,,
The Living Daylights,1987,06/29/1987 00:00,,,
The Living Desert,1953,11/10/1953 00:00,,,
The Lone Ranger,2013,07/03/2013 00:00,TRUE,,
The Long Kiss Goodnight,1996,10/11/1996 00:00,,,
The Long Ships,1964,04/22/1964 00:00,,,
"The Long, Long Trailer",1954,02/18/1954 00:00,,,
The Longest Day,1962,09/25/1962 00:00,,,
The Longest Yard,1974,08/21/1974 00:00,,,
The Longest Yard,2005,05/27/2005 00:00,TRUE,,
The Lord of the Rings,1978,11/15/1978 00:00,TRUE,,
The Lord of the Rings: The Fellowship of the Ring,2001,12/18/2001 00:00,TRUE,,
The Lord of the Rings: The Return of the King,2003,12/17/2003 00:00,TRUE,,
The Lord of the Rings: The Two Towers,2002,12/18/2002 00:00,TRUE,,
The Lost Boys,1987,07/31/1987 00:00,TRUE,,
The Lost World: Jurassic Park,1997,05/23/1997 00:00,TRUE,,
The Love Bug,1968,12/23/1968 00:00,,,
The Lower Depths,1957,10/01/1957 00:00,,,
The Machine,2013,04/25/2013 00:00,,,
The Magnificent Seven,1960,10/12/1960 00:00,,,
The Magnificent Seven,2016,09/14/2016 00:00,TRUE,,
The Magnificent Seven Ride!,1972,08/01/1972 00:00,,,
The Majestic,2001,12/21/2001 00:00,,,
The Maltese Falcon,1941,10/18/1941 00:00,,,
The Man from the Alamo,1953,08/07/1953 00:00,,,
The Man from U.N.C.L.E.,2015,08/13/2015 00:00,,,
The Man in the Iron Mask,1998,03/12/1998 00:00,TRUE,,
The Man Who Killed Don Quixote,2018,05/19/2018 00:00,,,
The Man Who Killed Hitler and Then the Bigfoot,2019,02/08/2019 00:00,,,
The Man Who Laughs,1928,04/27/1928 00:00,,,
The Man Who Planted Trees,1987,05/13/1987 00:00,,,
The Man Who Shot Liberty Valance,1962,04/13/1962 00:00,,,
The Man Who Would Be King,1975,12/03/1975 00:00,,,
The Man with the Golden Gun,1974,12/04/1974 00:00,,,
The Man with the Iron Fists,2012,11/02/2012 00:00,TRUE,,
The Man with the Iron Fists 2,2015,03/10/2015 00:00,,,
The Man with the Iron Heart,2017,05/25/2017 00:00,,,
The Man with Two Brains,1983,06/10/1983 00:00,,,
The Man Without a Face,1993,08/25/1993 00:00,,,
The Manchurian Candidate,1962,10/24/1962 00:00,,,
The Manchurian Candidate,2004,07/30/2004 00:00,TRUE,,
The Many Adventures of Winnie the Pooh,1977,03/11/1977 00:00,,,
The Many Saints of Newark,2021,09/22/2021 00:00,,,
The Mark of Zorro,1940,11/08/1940 00:00,,,
The Martian,2015,09/30/2015 00:00,TRUE,,
The Marx Brothers: Hollywood's Kings of Chaos,2016,10/13/2016 00:00,,,
The Mask,1994,07/29/1994 00:00,TRUE,,
The Mask of Zorro,1998,07/16/1998 00:00,TRUE,,
The Masque of the Red Death,1964,06/24/1964 00:00,,,
The Master,2012,09/14/2012 00:00,,,
The Master of Disguise,2002,08/02/2002 00:00,TRUE,,
The Matador,2005,05/12/2005 00:00,,,
The Matrix,1999,03/31/1999 00:00,TRUE,,
The Matrix Reloaded,2003,05/15/2003 00:00,TRUE,,
The Matrix Resurrections,2021,12/16/2021 00:00,,,
The Matrix Revolutions,2003,11/05/2003 00:00,TRUE,,
The Maze Runner,2014,09/10/2014 00:00,TRUE,,
The Mechanic,1972,10/06/1972 00:00,,,
The Mechanic,2011,01/13/2011 00:00,,,
The Medallion,2003,08/15/2003 00:00,TRUE,,
The Meg,2018,08/09/2018 00:00,TRUE,,
The Men Who Stare at Goats,2009,10/17/2009 00:00,,,
The Men Who Tread on the Tiger's Tail,1952,04/24/1952 00:00,,,
The Men's Club,1986,09/19/1986 00:00,,,
The Mermaid,2016,02/08/2016 00:00,TRUE,,
The Message,1976,03/09/1976 00:00,,,
The Meteor Man,1993,08/06/1993 00:00,,,
The Mighty Ducks,1992,10/02/1992 00:00,,,
The Million Dollar Duck,1971,06/30/1971 00:00,,,
The Miracle of Marcelino,1955,02/24/1955 00:00,,,
The Mist,2007,05/09/2007 00:00,,,
The Money Pit,1986,03/26/1986 00:00,TRUE,,
The Monkey King: Uproar in Heaven,1961,07/25/1961 00:00,,,
The Monuments Men,2014,01/24/2014 00:00,TRUE,,
The Mortal Instruments: City of Bones,2013,08/21/2013 00:00,,,
The Most Beautiful,1944,04/13/1944 00:00,,,
The Mothman Prophecies,2002,01/25/2002 00:00,,,
The Mummy,2017,06/08/2017 00:00,TRUE,,
The Mummy,1959,08/01/1959 00:00,,,
The Mummy,1932,12/22/1932 00:00,,,
The Mummy,1999,04/16/1999 00:00,TRUE,,
The Mummy Returns,2001,05/04/2001 00:00,TRUE,,
The Mummy: Tomb of the Dragon Emperor,2008,07/01/2008 00:00,TRUE,,
The Muppet Christmas Carol,1992,12/11/1992 00:00,TRUE,,
The Muppet Movie,1979,06/22/1979 00:00,,,
The Naked Gun 2½: The Smell of Fear,1991,06/28/1991 00:00,TRUE,,
The Naked Gun: From the Files of Police Squad!,1988,12/02/1988 00:00,TRUE,,
The Name of the Rose,1986,09/24/1986 00:00,,,
The Navigator: A Medieval Odyssey,1988,12/15/1988 00:00,,,
The Negotiator,1998,07/29/1998 00:00,TRUE,,
The Net,1995,07/28/1995 00:00,TRUE,,
The NeverEnding Story,1984,04/06/1984 00:00,,,
The New King of Comedy,2019,02/05/2019 00:00,,,
The New Mutants,2020,04/02/2020 00:00,,,
The Next Generation Patlabor: Tokyo War,2015,05/01/2015 00:00,,,
The Next Karate Kid,1994,07/18/1994 00:00,,,
The Nightmare Before Christmas,1993,10/09/1993 00:00,TRUE,,
The Northman,2022,04/07/2022 00:00,TRUE,,
The November Man,2014,08/27/2014 00:00,,,
The Nutcracker and the Four Realms,2018,10/26/2018 00:00,,,
The Nutty Professor,1996,06/28/1996 00:00,,,
The Nutty Professor,1963,06/04/1963 00:00,,,
The Odd Couple,1968,05/16/1968 00:00,,,
The Old Way,2023,01/06/2023 00:00,,,
The Omega Man,1971,08/01/1971 00:00,,,
The Omen,1976,06/25/1976 00:00,,,
The One,2001,11/02/2001 00:00,TRUE,,
The Other Guys,2010,08/06/2010 00:00,TRUE,,
The Outlaw Josey Wales,1976,06/30/1976 00:00,,,
The Outpost,2020,06/24/2020 00:00,,,
The Outsiders,1983,03/25/1983 00:00,,,
The Ox-Bow Incident,1943,03/11/1943 00:00,,,
The Pagemaster,1994,11/23/1994 00:00,,,
The Pale Blue Eye,2022,12/22/2022 00:00,,,
The Paper Chase,1973,10/16/1973 00:00,TRUE,,
The Parent Trap,1961,05/13/1961 00:00,,,
The Parent Trap,1998,07/28/1998 00:00,,,
The Passion of the Christ,2004,02/25/2004 00:00,,,
The Patriot,2000,06/28/2000 00:00,TRUE,,
The Peanut Butter Falcon,2019,08/09/2019 00:00,,,
The Peanuts Movie,2015,11/05/2015 00:00,,,
The Pelican Brief,1993,09/17/1993 00:00,,,
The Pentagon Wars,1998,02/28/1998 00:00,,,
The People vs. George Lucas,2010,03/14/2010 00:00,,,
The People vs. Larry Flynt,1996,12/25/1996 00:00,,,
The Perfect Storm,2000,06/29/2000 00:00,,,
The Perks of Being a Wallflower,2012,09/20/2012 00:00,,,
The Phantom,1996,06/06/1996 00:00,,,
The Phantom of the Opera,1925,09/22/1925 00:00,,,
The Phantom of the Opera,1989,11/04/1989 00:00,,,
The Philadelphia Experiment,1984,10/05/1984 00:00,,,
The Philadelphia Story,1940,12/05/1940 00:00,,,
The Pianist,2002,09/17/2002 00:00,,,
The Pick-up Artist,1987,09/18/1987 00:00,,,
The Picture of Dorian Gray,1945,03/03/1945 00:00,,,
The Pink Panther,1963,12/18/1963 00:00,,,
The Pink Panther,2006,02/10/2006 00:00,,,
The Pink Panther Strikes Again,1976,12/15/1976 00:00,,,
The Pixar Story,2007,08/28/2007 00:00,,,
The Place Promised in Our Early Days,2004,11/20/2004 00:00,,,
The Plot Against the President,2020,10/16/2020 00:00,,,
The Polar Express,2004,11/10/2004 00:00,TRUE,,
The Pope's Exorcist,2023,04/05/2023 00:00,,,
The Poseidon Adventure,1972,12/01/1972 00:00,,,
The Post,2017,12/22/2017 00:00,,,
The Postman,1997,12/25/1997 00:00,,,
The Postman Always Rings Twice,1946,05/02/1946 00:00,,,
The President's Man,2000,04/02/2000 00:00,,,
The Prestige,2006,10/17/2006 00:00,TRUE,,
The Prince and the Pauper,1990,11/16/1990 00:00,,,
The Prince of Egypt,1998,12/16/1998 00:00,TRUE,,
The Princess and the Frog,2009,12/08/2009 00:00,,,
The Princess and the Pilot,2011,10/01/2011 00:00,,,
The Princess and the Pirate,1944,11/17/1944 00:00,,,
The Princess Bride,1987,09/25/1987 00:00,TRUE,,
The Princess Diaries,2001,08/03/2001 00:00,,,
The Professor and the Madman,2019,03/07/2019 00:00,,,
The Prophecy,1995,08/05/1995 00:00,,,
The Prophet,2014,09/06/2014 00:00,,,
The Punisher,2004,04/15/2004 00:00,,,
The Punisher,1989,10/05/1989 00:00,,,
The Puppet Masters,1994,10/21/1994 00:00,,,
The Purge,2013,05/31/2013 00:00,,,
The Pursuit of Happyness,2006,12/14/2006 00:00,,,
The Quick and the Dead,1995,02/09/1995 00:00,,,
The Quiet Duel,1949,03/19/1949 00:00,,,
The Quiet Man,1952,07/21/1952 00:00,,,
The Raid,2012,08/06/2012 00:00,,,
The Raven,1963,01/25/1963 00:00,,,
The Reaping,2007,04/05/2007 00:00,TRUE,,
The Reaping,2007,04/05/2007 00:00,TRUE,,
The Recruit,2003,01/31/2003 00:00,,,
The Red Baron,2008,03/29/2008 00:00,TRUE,,
The Red Pill,2016,10/14/2016 00:00,,,
The Red Turtle,2016,03/27/2016 00:00,TRUE,,
The Redemption of General Butt Naked,2011,01/20/2011 00:00,,,
The Reluctant Dragon,1941,06/19/1941 00:00,,,
The Remains of the Day,1993,11/05/1993 00:00,,,
The Replacements,2000,08/11/2000 00:00,,,
The Rescuers,1977,06/22/1977 00:00,,,
The Rescuers Down Under,1990,11/16/1990 00:00,TRUE,,
The Return of Godzilla,1984,12/15/1984 00:00,,,
The Return of Jafar,1994,05/20/1994 00:00,,,
The Return of the King,1980,05/11/1980 00:00,,,
The Return of the Living Dead,1985,04/25/1985 00:00,TRUE,,
The Return of the Pink Panther,1975,05/21/1975 00:00,,,
The Revenant,2015,12/25/2015 00:00,TRUE,,
The Ridiculous 6,2015,12/11/2015 00:00,TRUE,,
The Right Stuff,1983,10/20/1983 00:00,,,
The Ring,2002,10/18/2002 00:00,,,
The Rise of Jordan Peterson,2019,08/19/2019 00:00,,,
The River Wild,1994,09/30/1994 00:00,,,
The Road to El Dorado,2000,03/31/2000 00:00,TRUE,,
The Rock,1996,06/07/1996 00:00,TRUE,,
The Rocketeer,1991,06/21/1991 00:00,TRUE,,
The Rocky Horror Picture Show,1975,08/14/1975 00:00,,,
The Rookie,2002,03/25/2002 00:00,,,
The Rookie,1990,12/07/1990 00:00,,,
The Room,2003,06/27/2003 00:00,TRUE,,
The Royal Tenenbaums,2001,10/05/2001 00:00,,,
The Rum Diary,2011,10/13/2011 00:00,,,
The Rundown,2003,09/26/2003 00:00,TRUE,,
The Running Man,1987,11/13/1987 00:00,TRUE,,
The Salton Sea,2002,02/12/2002 00:00,,,
The Salvation,2014,05/22/2014 00:00,,,
The Sandlot,1993,04/07/1993 00:00,TRUE,,
The Santa Clause,1994,11/11/1994 00:00,TRUE,,
The Santa Clause 2,2002,09/29/2002 00:00,TRUE,,
The Santa Clause 3: The Escape Clause,2006,11/02/2006 00:00,TRUE,,
The Scarlet Pimpernel,1934,12/20/1934 00:00,,,
The Scary of Sixty-First,2021,12/03/2021 00:00,,,
The Scorpion King,2002,04/18/2002 00:00,TRUE,,
The Searchers,1956,05/16/1956 00:00,,,
The Secret,2006,03/26/2006 00:00,,,
The Secret Garden,1993,08/13/1993 00:00,,,
The Secret Life of Pets,2016,06/18/2016 00:00,,,
The Secret Life of Pets 2,2019,05/24/2019 00:00,,,
The Secret Life of Walter Mitty,2013,12/18/2013 00:00,,,
The Secret of Kells,2009,02/09/2009 00:00,,,
The Secret of NIMH,1982,06/17/1982 00:00,,,
The Secret World of Arrietty,2010,07/16/2010 00:00,TRUE,,
The Sentinel,2006,04/19/2006 00:00,TRUE,,
The Seven Year Itch,1955,06/03/1955 00:00,,,
The Seventh Seal,1957,02/16/1957 00:00,,,
The Shadow,1994,07/01/1994 00:00,,,
The Shaggy Dog,2006,03/09/2006 00:00,,,
The Shape of Water,2017,12/01/2017 00:00,,,
The Shawshank Redemption,1994,09/23/1994 00:00,TRUE,,
The Shining,1980,05/23/1980 00:00,TRUE,,
The Siege,1998,11/06/1998 00:00,,,
The Siege of Jadotville,2016,09/19/2016 00:00,,,
The Silence of the Lambs,1991,02/14/1991 00:00,,,
The Sixth Sense,1999,08/06/1999 00:00,TRUE,,
The Snowman,1984,12/15/1984 00:00,,,
The Social Dilemma,2020,01/26/2020 00:00,,,
The Social Network,2010,10/01/2010 00:00,TRUE,,
The Sorcerer and the White Snake,2011,09/27/2011 00:00,TRUE,,
The Sorcerer's Apprentice,2010,07/13/2010 00:00,TRUE,,
The Sound of 007,2022,10/04/2022 00:00,,,
The Sound of Music,1965,03/29/1965 00:00,,,
The Specialist,1994,10/07/1994 00:00,,,
The Spiderwick Chronicles,2008,02/14/2008 00:00,TRUE,,
The Spirit,2008,12/25/2008 00:00,,,
The SpongeBob Movie: Sponge on the Run,2020,08/14/2020 00:00,,,
The SpongeBob Movie: Sponge Out of Water,2015,02/6/2015 00:00,TRUE,,
The Spy Next Door,2010,01/15/2010 00:00,,,
The Spy Who Loved Me,1977,07/07/1977 00:00,,,
The Stand at Paxton County,2020,05/02/2020 00:00,,,
The Stepford Wives,2004,06/10/2004 00:00,TRUE,,
The Sting,1973,12/25/1973 00:00,,,
The Sting II,1983,02/18/1983 00:00,,,
The Straight Story,1999,10/15/1999 00:00,,,
The Stranger,1967,10/14/1967 00:00,,,
The Stuff,1985,06/14/1985 00:00,,,
The Suicide Squad,2021,06/06/2021 00:00,,,
The Sum of All Fears,2002,05/31/2002 00:00,TRUE,,
The Super Mario Bros. Movie,2023,04/05/2023 00:00,TRUE,,
The Sword in the Stone,1963,12/25/1963 00:00,TRUE,,
The Sword of Doom,1966,02/25/1966 00:00,,,
The Taking of Pelham 1 2 3,2009,06/10/2009 00:00,TRUE,,
The Taking of Pelham One Two Three,1974,10/02/1974 00:00,,,
The Tale of The Princess Kaguya,2013,11/23/2013 00:00,TRUE,,
The Tale of Zatoichi,1962,04/18/1962 00:00,,,
The Tale of Zatoichi Continues,1962,10/12/1962 00:00,,,
The Talented Mr. Ripley,1999,12/25/1999 00:00,TRUE,,
The Taming of the Shrew,1967,03/08/1967 00:00,,,
The Tempest,1979,09/13/1979 00:00,,,
The Ten Commandments,1956,10/05/1956 00:00,TRUE,,
The Terminal,2004,06/17/2004 00:00,TRUE,,
The Terminator,1984,10/26/1984 00:00,TRUE,,
The Texas Chain Saw Massacre,1974,10/11/1974 00:00,,,
The Theory of Everything,2014,11/07/2014 00:00,,,
The Thief Lord,2006,01/04/2006 00:00,,,
The Thin Blue Line,1988,08/28/1988 00:00,,,
The Thin Red Line,1998,12/23/1998 00:00,,,
The Thing,2011,10/12/2011 00:00,TRUE,,
The Thing,1982,06/25/1982 00:00,TRUE,,
The Thing from Another World,1951,04/05/1951 00:00,TRUE,,
The Third Man,1949,08/31/1949 00:00,,,
The Thirteenth Floor,1999,04/16/1999 00:00,,,
The Thomas Crown Affair,1968,06/26/1968 00:00,,,
The Thomas Crown Affair,1999,08/06/1999 00:00,TRUE,,
The Three Burials of Melquiades Estrada,2005,11/17/2005 00:00,,,
The Three Caballeros,1944,12/21/1944 00:00,,,
The Three Musketeers,1992,06/01/1992 00:00,,,
The Three Musketeers,1973,12/11/1973 00:00,,,
The Three Musketeers,1948,10/20/1948 00:00,,,
The Three Musketeers,2011,08/31/2011 00:00,TRUE,,
The Three Stooges,2012,04/13/2012 00:00,,,
The Tigger Movie,2000,02/11/2000 00:00,,,
The Tillman Story,2010,08/22/2010 00:00,,,
The Time Machine,1960,05/25/1960 00:00,,,
The Time Machine,2002,03/04/2002 00:00,TRUE,,
The Time Traveler's Wife,2009,08/14/2009 00:00,,,
The Tin Star,1957,11/06/1957 00:00,,,
The To Do List,2013,07/24/2013 00:00,,,
The Tomorrow War,2021,09/03/2021 00:00,TRUE,,
The Towering Inferno,1974,12/14/1974 00:00,,,
The Town,2010,09/15/2010 00:00,,,
The Town Santa Forgot,1993,12/03/1993 00:00,,,
The Toxic Avenger,1984,05/15/1984 00:00,,,
The Toxic Avenger Part II,1989,07/15/1989 00:00,,,
The Toxic Avenger Part III: The Last Temptation of Toxie,1989,11/24/1989 00:00,,,
The Train,1964,09/24/1964 00:00,,,
The Transporter,2002,10/02/2002 00:00,TRUE,,
The Treasure of the Sierra Madre,1948,01/15/1948 00:00,,,
The Tree of Life,2011,05/17/2011 00:00,,,
The Trials of Oscar Wilde,1960,05/28/1960 00:00,,,
The Tribes of Palos Verdes,2017,12/01/2017 00:00,,,
The True Don Quixote,2019,10/01/2019 00:00,,,
The Truman Show,1998,06/04/1998 00:00,,,
The Tuskegee Airmen,1995,08/25/1995 00:00,,,
The Tuxedo,2002,09/27/2002 00:00,TRUE,,
The Twilight Saga: Breaking Dawn - Part 1,2011,11/16/2011 00:00,,,
The Twilight Saga: Breaking Dawn - Part 2,2012,11/13/2012 00:00,,,
The Twilight Saga: Eclipse,2010,06/23/2010 00:00,,,
The Twilight Saga: New Moon,2009,11/18/2009 00:00,,,
The Twilight Samurai,2002,11/02/2002 00:00,,,
The Two Popes,2019,11/27/2019 00:00,,,
The Unbearable Weight of Massive Talent,2022,04/20/2022 00:00,,,
The Unknown Soldier,2017,05/27/2017 00:00,,,
The Unknown Soldier,1955,12/23/1955 00:00,,,
The Untold Story,1993,05/13/1993 00:00,,,
The Untouchables,1987,06/03/1987 00:00,TRUE,,
The Usual Suspects,1995,08/16/1995 00:00,TRUE,,
The Vampire Lovers,1970,10/04/1970 00:00,,,
The Vanishing,1993,02/05/1993 00:00,,,
The VelociPastor,2018,09/28/2018 00:00,,,
The Victory of Faith,1933,12/01/1933 00:00,,,
